Word	Louw-Nida	Category
ἀβιληνή	93.0	toponym
ἄβυσσος	1.0	nature
ἅγια		buildings
ἀγορά		buildings
ἀγραυλέω	85.0	vbs. of motion
ἀγρός	1.0	nature
ἄγω	15.0	other vbs.
ᾅδης	1.0	nature
ἀδραμυττηνός	93.0	toponym
ἀδρίας	93.0	nature
ἄζωτος	93.0	toponym
ἀήρ	1.0	nature
ἀθῆναι	93.0	toponym
ἀθηναῖος	93.0	toponym
ἀθροίζω	15.0	other vbs.
αἰγιαλός	1.0	nature
αἰγύπτιος	93.0	toponym
αἴγυπτος	93.0	toponym
αἰθίοψ	93.0	toponym
αἰνών	93.0	toponym
αἴρω	15.0	other vbs.
αἰχμαλωτεύω		other vbs.
αἰχμαλωτίζω		other vbs.
αἰών	1.0	nature
ἄκανθα		nature
ἁκελδαμάχ	93.0	nature
ἀκολουθέω	15.0	vbs. of motion
ἀκροατήριον	7.0	buildings
ἄκρον	80.0	road
ἄλασσα		toponym
ἀλεξανδρεύς	93.0	toponym
ἀλεξανδρῖνος	93.0	toponym
ἀλλαχόθεν	84.0	indeclinable
ἀλλαχοῦ	83.0	indeclinable
ἀλλογενής		community
ἅλλομαι	15.0	vbs. of motion
ἅλων	7.0	buildings
ἄμμος	1.0	nature
ἄμπελος		nature
ἀμπελών		nature
ἀμφίπολις	93.0	toponym
ἄμφοδον	1.0	road
ἀναβαθμός	7.0	buildings
ἀναβαίνω	15.0	vbs. of motion
ἀναβιβάζω	15.0	vbs. of motion
ἀνάγαιον	7.0	buildings
ἀνάγω	15.0	vbs. of motion
ἀναδίδωμι		other vbs.
ἀναζητέω		other vbs.
ἀναζώννυμαι		vbs. of motion
ἀναιρέω		other vbs.
ἀνακαθίζω	17.0	vbs. of motion
ἀνακάμπτω	15.0	vbs. of motion
ἀνάκειμαι	17.0	vbs. of motion
ἀνακλίνω	17.0	vbs. of motion
ἀνακύπτω	17.0	vbs. of motion
ἀναλαμβάνω	15.0	other vbs.
ἀνάλημψις	15.0	nature
ἀνάλλομαι		vbs. of motion
ἀναλύω	15.0	vbs. of motion
ἀνάπαυσις		buildings
ἀναπαύω	85.0	vbs. of motion
ἀναπέμπω	15.0	vbs. of motion
ἀναπηδάω	15.0	vbs. of motion
ἀναπίπτω	17.0	vbs. of motion
ἀνασπάω	15.0	other vbs.
ἀναστάσις		nature
ἀναστρέφω	15.0	vbs. of motion
ἀνατέλλω	15.0	vbs. of motion
ἀνατολή	82.0	nature
ἀνατολικός		nature
ἀνατρέπω	16.0	other vbs.
ἀναφέρω	15.0	other vbs.
ἀναχωρέω	15.0	vbs. of motion
ἀνεμίζομαι	15.0	other vbs.
ἀνέρχομαι	15.0	vbs. of motion
ἀνίστημι	15.0	vbs. of motion
ἀνοίγω		other vbs.
ἀνοικοδομέω	45.0	other vbs.
ἀνορθόω	17.0	other vbs.
ἄντικρυς	83.0	indeclinable
ἀντιόχεια	93.0	toponym
ἀντιοχεύς	93.0	toponym
ἀντιπαρέρχομαι	15.0	vbs. of motion
ἀντιπατρίς	93.0	toponym
ἀντιπέρα	83.0	indeclinable
ἄνω	83.0	indeclinable
ἄνωθεν	84.0	indeclinable
ἀνωτερικός	1.0	indeclinable
ἀπάγω	15.0	vbs. of motion
ἀπαλλάσσω		other vbs.
ἀπαντάω	15.0	other vbs.
ἀπάντησις	15.0	community
ἀπασπάζομαι		vbs. of motion
ἄπειμι	85.0	vbs. of motion
ἀπελαύνω	15.0	vbs. of motion
ἀπέναντι	83.0	indeclinable
ἀπέρχομαι	15.0	vbs. of motion
ἀπέχω	85.0	other vbs.
ἀπό	84.0	indeclinable
ἀποβαίνω	15.0	vbs. of motion
ἀποδημέω	15.0	vbs. of motion
ἀπόδημος	85.0	vbs. of motion
ἀποθήκη	7.0	buildings
ἀπόκειμαι	85.0	other vbs.
ἀποκυλίω	15.0	other vbs.
ἀπολαμβάνω	15.0	other vbs.
ἀπολείπω	85.0	vbs. of motion
ἀπολλωνία	93.0	toponym
ἀπολύω	15.0	vbs. of motion
ἀπομένω		other vbs.
ἀποπέμπω		vbs. of motion
ἀποπίπτω	15.0	other vbs.
ἀποπλέω		vbs. of motion
ἀπορίπτω	15.0	vbs. of motion
ἀποσπάω	15.0	other vbs.
ἀποστεγάζω	45.0	other vbs.
ἀποστέλλω	15.0	vbs. of motion
ἀποστρέφω	85.0	vbs. of motion
ἀποτάσσω	15.0	other vbs.
ἀποτίθημι	85.0	other vbs.
ἀπουσία	85.0	community
ἀποφέρω	15.0	vbs. of motion
ἀποφεύγω		other vbs.
ἀποφορτίζομαι	15.0	other vbs.
ἀποχωρέω	15.0	vbs. of motion
ἀποχωρίζω	15.0	vbs. of motion
ἀπρόσιτος	15.0	indeclinable
ἀπωθέω	15.0	other vbs.
ἀραβία	93.0	toponym
ἄραψ	93.0	toponym
ἄρειος	93.0	buildings
ἀρεοπαγίτης		toponym
ἀριμαθαία	93.0	toponym
ἀριστερός	82.0	nature
ἀρχιτέκτων	45.0	buildings
ἀσάλευτος	15.0	nature
ἀσία	93.0	toponym
ἀσιανός	93.0	toponym
ἀσιάρχης		toponym
ἆσσον	83.0	indeclinable
ἆσσος	93.0	toponym
ἀστατέω	85.0	other vbs.
ἀττάλεια	93.0	toponym
αὐλή	7.0	buildings
ἀφαιρέω	85.0	other vbs.
ἀφεδρών	7.0	buildings
